understat_id,player_name,fpl_id,web_name,fpl_code
6557,Louis Beyer,160,Beyer,241231
6615,Trevoh Chalobah,159,Chalobah,180736
6630,Joe Willock,420,Willock,200089
6674,Rayan Ait Nouri,533,Aït-Nouri,448514
6681,Harvey Barnes,392,Barnes,201666
6686,Nicolo Zaniolo,672,Zaniolo,245414
6691,Dejan Kulusevski,492,Kulusevski,445044
6722,Konstantinos Mavropanos,676,Mavropanos,233963
6818,James Maddison,494,Maddison,172780
6835,Tom Cairney,243,Cairney,76357
6850,Willy Boly,425,Boly,90585
6852,Matt Doherty,598,Doherty,87835
6854,Diogo Jota,317,Diogo J.,194634
6857,Morgan Gibbs-White,447,Gibbs-White,222531
6885,Axel Disasi,611,Disasi,220362
6888,William Saliba,18,Saliba,462424
6903,Matz Sels,443,Sels,85633
6912,Pedro Porro,495,Pedro Porro,441164
6963,Justin Kluivert,72,Kluivert,222683
7027,Arijanet Muric,568,Muric,232917
7047,Mark Flekken,101,Flekken,118342
7069,Saman Ghoddos,701,Ghoddos,205836
7080,Matheus Cunha,590,Cunha,430871
7134,Marc Cucurella,163,Cucurella,179268
7184,Tim Ream,253,Ream,82514
7187,Sergio Reguilón,508,Reguilón,199249
7198,Oliver Skipp,501,Skipp,209042
7218,Cristian Romero,498,Romero,221632
7230,Emile Smith-Rowe,19,Smith Rowe,209289
7235,Jason Steele,142,Steele,49262
7236,Leander Dendoncker,33,Dendoncker,151589
7240,Benoit Badiashile Mukinayi,153,B.Badiashile,242880
7264,Han-Noah Massengo,694,Massengo,437757
7277,Ryan John Giles,553,Giles,232351
7281,Diogo Dalot,369,Dalot,216051
7298,Ben White,24,White,198869
7322,Bukayo Saka,17,Saka,223340
7332,Max Kilman,524,Kilman,214048
7338,Bryan Gil Salvatierra,483,Bryan,436234
7352,Tyler Adams,60,Adams,200785
7365,Lucas Paquetá,527,L.Paquetá,224024
7382,Dan Burn,395,Burn,78916
7384,Chris Mepham,72,Mepham,223911
7395,Carlos Vinicius,258,Vinicius,245824
7420,Miguel Almirón,391,Almirón,179018
7439,Tahith Chong,586,Chong,222677
7498,Lyle Foster,168,Foster,435973
7546,Harvey Elliott,319,Elliott,444884
7582,Mark Travers,84,Travers,229600
7603,Marc Guehi,200,Guéhi,209036
7688,Max Aarons,643,Aarons,232980
7698,Leandro Trossard,23,Trossard,116216
7699,Adam Webster,147,Webster,110735
7702,Dean Henderson,385,Henderson,172649
7706,George Baldock,473,Baldock,82691
7710,Oliver Norwood,488,Norwood,79934
7714,Ben Osborn,489,Osborn,167878
7726,Ezri Konsa Ngoyo,44,Konsa,199798
7752,Gabriel Martinelli,9,Martinelli,444145
7762,Jean-Ricner Bellegarde,715,Bellegarde,231057
7768,Mason Mount,382,Mount,184341
