id_x,full_name,games,time,goals,xG,assists_x,xA,shots,key_passes,yellow_cards_x,red_cards_x,position,team_title,team_short,npg,npxG,xGChain,xGBuildup,team_short.1,pos_x,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id_y,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,web_name_2,Team,key,pos_y,minutes,goals_scored,assists_y,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards_y,red_cards_y,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
5612,Anwar El Ghazi,34,2082,4,6.381360174,4,2.877201503,53,30,3,0,F M S,Aston Villa,Aston Villa,3,5.620191337,8.016558893,2.210284133,Aston Villa,,,,193488,0,0,0,0,0,3,0,,0,Anwar,0,45,FALSE,,,60,193488.jpg,0,El Ghazi,0.3,FALSE,,a,2,7,93,0,0,0,0,0,15.5,El Ghazi,El Ghazi,Aston Villa,El Ghazi Aston Villa,M,2046,4,5,5,48,0,0,0,3,0,0,0,281,383.2,482.2,655,152,167,69,52,40,43,23,56,32
1760,Arthur Masuaku,17,925,0,0.09922112525,1,1.252851464,5,7,4,1,D M S,West Ham,West Ham,0,0.09922112525,3.070639553,2.874283677,West Ham,,,,105717,0,0,0,0,0,2,0,,0,Arthur,0,442,FALSE,,,45,105717.jpg,0,Masuaku,0.4,FALSE,,a,19,21,26,0,0,0,0,0,5.8,Masuaku,Masuaku,West Ham,Masuaku West Ham,D,930,0,1,2,18,0,0,0,4,1,0,3,166,240.8,128.6,53,42.4,234,92,209,55,276,97,270,92
4422,Ashley Barnes,19,1386,6,6.516927354,0,0.308820501,40,5,4,0,F S,Burnley,Burnley,5,5.755758502,5.060966618,1.574079214,Burnley,,,,44699,0,0,0,0,0,4,0,,0,Ashley,0,87,FALSE,,,60,44699.jpg,0,Barnes,0.9,FALSE,,a,4,90,61,0,0,0,0,0,10.2,Barnes,Barnes,Burnley,Barnes Burnley,F,1350,6,0,8,21,0,0,0,4,0,0,6,161,226.2,85.1,474,75.9,245,27,237,38,67,30,180,30
669,Ashley Westwood,35,3150,2,1.175162575,6,7.076901875,13,54,9,0,M,Burnley,Burnley,2,1.175162575,9.225508247,6.144054685,Burnley,,,,60551,0,0,0,0,0,3,0,,0,Ashley,0,89,FALSE,,,55,60551.jpg,0,Westwood,1.1,FALSE,,a,4,90,118,0,0,0,0,0,21.5,Westwood,Westwood,Burnley,Westwood Burnley,M,3150,2,7,15,39,0,0,0,9,0,0,11,567,596.8,814.2,135,154.7,73,22,14,11,204,106,53,30
934,Axel Tuanzebe,5,186,0,0,0,0,0,0,0,0,D S,Manchester United,Man Utd,0,0,0.1738492474,0.1738492474,Man Utd,,,,180804,0,0,0,0,0,2,0,,0,Axel,0,307,FALSE,,,45,180804.jpg,0,Tuanzebe,0.2,FALSE,,a,13,1,7,0,0,0,0,0,1.6,Tuanzebe,Tuanzebe,Man Utd,Tuanzebe Man Utd,D,187,0,0,0,3,0,0,0,0,0,0,0,30,17.6,6.2,0,2.4,352,132,334,125,395,159,361,134
2498,Aymeric Laporte,15,1112,1,0.7192277312,0,0.1790373102,4,3,1,0,D S,Manchester City,Man City,1,0.7192277312,7.432042468,7.252388287,Man City,,,,146941,0,0,0,0,0,2,0,,0,Aymeric,0,280,FALSE,,,60,146941.jpg,0,Laporte,13.7,FALSE,,a,12,43,63,0,0,0,0,0,10.5,Laporte,Laporte,Man City,Laporte Man City,D,1096,1,0,8,5,0,0,0,1,0,0,0,298,246.8,62.2,79,38.7,229,90,266,90,255,85,274,96
770,Ayoze Pérez,33,2045,8,6.557796832,4,4.091643615,47,28,0,0,F M S,Leicester,Leicester,7,5.796627995,12.85032268,4.473776834,Leicester,,,,168580,0,0,0,0,0,3,0,,0,Ayoze,0,229,FALSE,,,65,168580.jpg,0,Pérez,1.2,FALSE,,a,9,13,129,0,0,0,0,0,19.8,Pérez,Pérez,Leicester,Pérez Leicester,M,1998,8,5,9,25,0,0,0,0,0,0,9,402,547.4,443.9,779,177.3,94,30,68,51,35,16,43,23
660,Ben Davies,18,1434,0,0.2192515414,0,0.9578831643,7,9,6,0,D M S,Tottenham,Spurs,0,0.2192515414,4.067890851,3.523901632,Spurs,,,,115556,0,0,0,0,0,2,0,,0,Ben,0,395,FALSE,,,50,115556.jpg,0,Davies,0.8,FALSE,,a,17,6,41,0,0,0,0,0,8.2,Davies,Davies,Everton,Davies Everton,M,1430,0,0,4,19,0,0,0,6,0,0,2,223,279.8,172.4,94,54.4,215,82,180,43,240,76,238,77
6424,Ben Johnson,3,270,0,0.01531477179,0,0.02896940894,1,1,0,0,D,West Ham,West Ham,0,0.01531477179,0.4228672236,0.4228672236,West Ham,,,,222018,0,0,0,0,0,2,0,,0,Ben,0,452,FALSE,,,40,222018.jpg,0,Johnson,2.8,FALSE,,a,19,21,6,0,0,0,0,0,1.5,Johnson,Johnson,West Ham,Johnson West Ham,D,270,0,0,0,3,0,0,0,0,0,0,0,32,48,25.2,1,7.4,333,123,309,116,332,128,341,124
1654,Ben Mee,32,2880,1,1.304819609,1,1.779614417,17,9,7,0,D,Burnley,Burnley,1,1.304819609,1.880477197,1.744089734,Burnley,,,,51927,0,0,0,0,0,2,0,,0,Ben,0,88,FALSE,,,50,51927.jpg,0,Mee,2.6,FALSE,,a,4,90,110,0,0,0,0,0,22,Mee,Mee,Burnley,Mee Burnley,D,2880,1,2,13,45,0,0,0,7,0,0,6,549,658.8,105.8,362,112.9,54,22,220,62,91,12,107,24
7714,Ben Osborn,13,586,0,0.195210319,0,0.8878793344,3,7,0,0,M S,Sheffield United,Sheffield Utd,0,0.195210319,2.333208814,1.588596284,Sheffield Utd,,,,167878,0,0,0,0,0,3,0,,0,Ben,0,356,FALSE,,,50,167878.jpg,0,Osborn,0.1,FALSE,,a,15,49,19,0,0,0,0,0,3.8,Osborn,Osborn,Sheffield Utd,Osborn Sheffield Utd,M,590,0,0,2,4,0,0,0,0,0,0,0,84,78.4,108.5,65,25.3,319,133,218,123,268,132,300,131
3389,Benjamin Mendy,19,1508,0,0.3174633514,3,1.626008035,10,21,3,0,D M S,Manchester City,Man City,0,0.3174633514,10.95017843,10.00816064,Man City,,,,102826,0,0,0,0,0,2,0,,0,Benjamin,0,274,FALSE,,,60,102826.jpg,0,Mendy,9,FALSE,,a,12,43,74,0,0,0,0,0,12.3,Mendy,Mendy,Man City,Mendy Man City,D,1491,0,2,9,13,0,0,0,3,0,0,3,378,243,403.2,106,75.5,233,91,87,17,225,66,181,51
7063,Bernard,27,1267,3,1.697565462,2,2.303722244,12,24,2,0,M S,Everton,Everton,3,1.697565462,6.573716749,3.049445613,Everton,,,,100649,0,0,0,0,0,3,0,,0,Bernard,0,154,FALSE,,,60,100649.jpg,0,Anício Caldeira Duarte,0.3,FALSE,,a,7,11,72,0,0,0,0,0,12,Bernard,Bernard,Everton,Anício Caldeira Duarte Everton,M,1269,3,2,9,12,0,0,0,2,0,0,6,237,315,349.1,236,89.8,194,80,99,66,144,82,154,83
3635,Bernardo Silva,34,2020,6,7.420340553,7,6.312828656,52,51,5,0,F M S,Manchester City,Man City,6,7.420340553,23.83779613,14.72735246,Man City,,,,165809,0,0,0,0,0,3,0,,0,Bernardo Mota,0,281,FALSE,,,75,165809.jpg,0,Veiga de Carvalho e Silva,1.4,FALSE,,a,12,43,116,0,0,0,0,0,15.5,Bernardo Silva,Bernardo Silva,Man City,Veiga de Carvalho e Silva Man City,M,2021,6,7,9,24,0,0,0,5,0,0,7,526,626.2,773.2,927,232.5,63,17,19,16,28,13,22,13
